no.blocks,planner_type,heuristic,planning_time,plan_cost,pp_cost
10,greedy,HEURISTIC.LAZY,0.098027026,100.65319742819196,111.42420163406607
10,greedy,HEURISTIC.SIMPLE_COLLISION,0.223498205,107.25765245796843,116.44370131392839
10,greedy,HEURISTIC.DILIGENT,1.984297083,109.91718992869431,116.07859720245662
10,multi_bound,HEURISTIC.LAZY,15.87320134,108.79974807778866,113.50934345286096
10,multi_bound,HEURISTIC.SIMPLE_COLLISION,11.063810711,111.50560969037085,113.55644840204486
10,multi_bound,HEURISTIC.DILIGENT,26.076115467,112.31687512457896,112.31687512457896
