no.blocks,planner_type,heuristic,planning_time,plan_cost,pp_cost
5,greedy,HEURISTIC.LAZY,0.06050615,39.42385111961446,40.97594533595702
5,greedy,HEURISTIC.SIMPLE_COLLISION,0.060621459,39.90517143365888,41.16302899068108
5,greedy,HEURISTIC.DILIGENT,0.22395975,40.80160324000274,41.050131377426595
5,multi_bound,HEURISTIC.LAZY,13.627679339,36.92522971936094,40.76386806510061
