no.blocks,planner_type,heuristic,planning_time,plan_cost,pp_cost
20,greedy,HEURISTIC.LAZY,0.31535556,160.37604057434552,168.9512385013911
20,greedy,HEURISTIC.SIMPLE_COLLISION,0.895816116,173.7158722212764,169.01756134319362
20,greedy,HEURISTIC.DILIGENT,3.249883779,171.40235515466549,171.5868519441781
20,multi_bound,HEURISTIC.LAZY,15.036172417,167.10858397331512,184.5931332404105
20,multi_bound,HEURISTIC.SIMPLE_COLLISION,25.811709516,193.5139870643896,201.79913857626065
20,multi_bound,HEURISTIC.DILIGENT,67.227910005,170.2814936997294,180.52234342273442
