planner,heuristic,num_objects,est_cost,cost,states_explored,time_taken
HEURISTIC,LAZY,5,1005.291220167428,214.7276572706814,20.0,0.0044378918000000005
HEURISTIC,DILIGENT,5,911.3545959795999,185.24506063649642,20.0,0.0369889052
HEURISTIC,ANTICIPATORY,5,862.3405790356031,180.3491847662478,20.0,0.004784759299999999
HEURISTIC,ANTICIPATORY_ONCE,5,1149.6681090464003,219.1306683293397,20.0,0.0036125959
HEURISTIC,LAZY,10,22855.820894757333,375.26715390570115,40.0,0.010131628099999998
HEURISTIC,DILIGENT,10,25265.544972391985,398.5281081374168,40.0,0.13771287399999999
HEURISTIC,ANTICIPATORY,10,28084.008991430503,351.04849239273415,40.0,0.0143908671
HEURISTIC,ANTICIPATORY_ONCE,10,22234.40423148263,355.5690521053673,40.0,0.0091559944
HEURISTIC,LAZY,25,586399835.1096953,832.74951961552,100.0,0.0432239394
HEURISTIC,DILIGENT,25,576542455.1275233,878.9993340647495,100.0,0.7269610976
HEURISTIC,ANTICIPATORY,25,643672450.3212354,835.0519376666074,100.0,0.10590562020000001
HEURISTIC,ANTICIPATORY_ONCE,25,519957121.05318135,854.6721580058895,100.0,0.0485961116
HEURISTIC,LAZY,50,1.835557356736553e+16,1584.5829881162063,200.0,0.1602867262
HEURISTIC,DILIGENT,50,1.499673489697375e+16,1558.826376946545,200.0,2.7742245621999997
HEURISTIC,ANTICIPATORY,50,1.5748893803237828e+16,1646.5902863668302,200.0,0.6109165217
HEURISTIC,ANTICIPATORY_ONCE,50,1.6282872828093718e+16,1565.2199642180979,200.0,0.15758747769999998
HEURISTIC,LAZY,100,1.367701947083249e+31,3739.194098360085,400.0,0.6085764678000001
HEURISTIC,DILIGENT,100,1.5263815007491973e+31,3762.275446556499,400.0,11.718165008500002
HEURISTIC,ANTICIPATORY,100,1.2437754945097769e+31,3735.66305803522,400.0,3.8673415131
HEURISTIC,ANTICIPATORY_ONCE,100,1.2562475154332434e+31,3712.226002919052,400.0,0.6010376782000001
HEURISTIC,LAZY,250,1.543175780122081e+76,10698.163502847232,1000.0,3.7011865441000005
HEURISTIC,DILIGENT,250,1.741529553648984e+76,10608.747295621382,1000.0,55.711860826700004
HEURISTIC,ANTICIPATORY,250,1.4782706522815315e+76,10673.0924097806,1000.0,53.149613183
HEURISTIC,ANTICIPATORY_ONCE,250,1.5913838533077728e+76,10781.240964573917,1000.0,3.6936710088999996
