planner,heuristic,num_objects,trial_num,est_cost,cost,states_explored,time_taken
HEURISTIC,DILIGENT,10,9,325.3466675200367,323.65653223644847,40.0,0.338772079
HEURISTIC,ANTICIPATORY,10,9,312.72565905800354,323.6959991280423,40.0,0.019377767
HEURISTIC,ANTICIPATORY_ONCE,10,9,312.62746136696535,323.6959991280423,40.0,0.014629927
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,10,9,314.0832383147523,356.9579903767467,40.0,0.014770714
MULTI_BOUND_G,MIXED_G,10,9,304.4719216051418,316.3799562757275,5756.0,3.065404839
HEURISTIC,LAZY,30,0,871.8919205708739,914.1724825180954,120.0,0.120342191
HEURISTIC,DILIGENT,30,0,904.940094571765,903.5684510911321,120.0,3.855526918
HEURISTIC,ANTICIPATORY,30,0,835.3672954487486,879.6883100229138,120.0,0.27422175
HEURISTIC,ANTICIPATORY_ONCE,30,0,871.8919205708739,914.1724825180954,120.0,0.116301022
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,30,0,2559.9937690116835,1087.0464444432928,120.0,0.118773218
MULTI_BOUND_G,MIXED_G,30,0,848.3057120343327,888.439489938085,5540.0,7.034802035
HEURISTIC,LAZY,30,1,887.6905258199668,933.562439751314,120.0,0.11662538
HEURISTIC,DILIGENT,30,1,906.1946226501148,907.0475547949458,120.0,3.573649904
HEURISTIC,ANTICIPATORY,30,1,887.8395772965039,926.3235971050527,120.0,0.206843561
HEURISTIC,ANTICIPATORY_ONCE,30,1,887.6905258199668,933.562439751314,120.0,0.114896611
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,30,1,1180.0409514915523,1179.1589583339874,120.0,0.115044717
MULTI_BOUND_G,MIXED_G,30,1,888.5477679441934,934.865548106893,5912.0,8.438114027
HEURISTIC,LAZY,30,2,898.1569221988108,942.318235655577,120.0,0.115348155
HEURISTIC,DILIGENT,30,2,939.8800477338011,942.2272332520955,120.0,3.822003452
