planner,heuristic,num_objects,est_cost,cost,states_explored,time_taken
MULTI_BOUND_G,MIXED_G,25,776.9755067376606,815.334492864689,9859.1,10.012424220100002
HEURISTIC,LAZY,30,18402398244.91407,1021.3865236483131,120.0,0.061330047
HEURISTIC,DILIGENT,30,18434813052.435978,1013.3704678701915,120.0,1.0255657938999998
HEURISTIC,ANTICIPATORY,30,17137266345.627314,1012.8126716312566,120.0,0.1642744929
HEURISTIC,ANTICIPATORY_ONCE,30,17457460561.15667,1052.185579758572,120.0,0.059264185299999994
MULTI_BOUND,MIXED,30,18769477810.828293,1014.4831144551918,1518.8,7.1022892496
MULTI_BOUND_G,MIXED_G,30,866.9206189683458,909.9137871260112,9814.3,9.3748774752
HEURISTIC,LAZY,35,577443153155.4207,1173.5833599986813,140.0,0.0777982891
HEURISTIC,DILIGENT,35,600579763431.1349,1206.4485083028617,140.0,1.4819081521
HEURISTIC,ANTICIPATORY,35,483669896925.86444,1142.4826018320873,140.0,0.2408041266
HEURISTIC,ANTICIPATORY_ONCE,35,515920607434.7083,1100.708078810467,140.0,0.0814481672
MULTI_BOUND,MIXED,35,513918981807.3083,1164.5790073920784,1336.0,8.2883363327
MULTI_BOUND_G,MIXED_G,35,1019.0965894812819,1070.0794396091578,9887.2,11.002990718300001
HEURISTIC,LAZY,40,19339007879478.27,1318.782925837993,160.0,0.1064386831
HEURISTIC,DILIGENT,40,16953880921232.943,1263.9275004406916,160.0,1.7891231223
HEURISTIC,ANTICIPATORY,40,16367322634414.605,1262.6582467995877,160.0,0.34142185719999996
HEURISTIC,ANTICIPATORY_ONCE,40,17667532035022.375,1343.6671813945443,160.0,0.10268411130000002
MULTI_BOUND,MIXED,40,18028902039034.11,1280.4257415020395,1180.8,9.9351205422
MULTI_BOUND_G,MIXED_G,40,1112.5968519959977,1168.3529935135812,9948.1,13.7478127979
HEURISTIC,LAZY,45,508804843551165.8,1451.4791959599795,180.0,0.13962832060000002
HEURISTIC,DILIGENT,45,540926359892085.2,1454.8124343553302,180.0,2.3517753339
HEURISTIC,ANTICIPATORY,45,488371023613578.7,1465.57294284637,180.0,0.4250772223
HEURISTIC,ANTICIPATORY_ONCE,45,485651688243063.9,1421.334469104465,180.0,0.1230778558
MULTI_BOUND,MIXED,45,487507273456151.5,1475.0582058254,1070.0,11.170085232000002
MULTI_BOUND_G,MIXED_G,45,1278.9289519915956,1344.0139256713762,10162.9,14.114893334500001
HEURISTIC,LAZY,50,1.615644947024985e+16,1546.9639429598824,200.0,0.146709849
HEURISTIC,DILIGENT,50,1.8540830773939016e+16,1576.3283782119438,200.0,2.6871344236
HEURISTIC,ANTICIPATORY,50,1.6627409918150212e+16,1590.3725228925748,200.0,0.547110432
HEURISTIC,ANTICIPATORY_ONCE,50,1.4740961019720644e+16,1600.009742728745,200.0,0.1462510673
MULTI_BOUND,MIXED,50,1.4990814321656166e+16,1553.3421457706913,976.0,12.0382104354
MULTI_BOUND_G,MIXED_G,50,1473.832808378903,1548.9064188675666,10154.8,15.434120024
