no.blocks,planner_type,heuristic,planning_time,plan_cost,pp_cost
5,greedy,HEURISTIC.LAZY,0.068688064,66.02388601381828,68.13985079816634
5,greedy,HEURISTIC.SIMPLE_COLLISION,0.096171151,67.37254341278121,68.13985079816634
5,greedy,HEURISTIC.DILIGENT,0.362460058,68.13985079816634,68.13985079816634
5,multi_bound,HEURISTIC.LAZY,15.561236727,62.418193017587605,67.0984288477768
5,multi_bound,HEURISTIC.SIMPLE_COLLISION,22.20263606,62.65838465538503,66.53790315738425
5,multi_bound,HEURISTIC.DILIGENT,177.282276902,64.54404366520083,67.0984288477768
5,multi_bound,mixed,12.53632855,62.418193017587605,67.0984288477768
