planner,heuristic,problem,trial_num,est_cost,cost,states_explored,time_taken
HEURISTIC,ANTICIPATORY_ONCE,house,0,1189.1950377088722,,160,0.221593603
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,house,0,1225.8384759395171,,160,0.221857572
MULTI_BOUND_G,MIXED_G,house,0,1188.369573648491,,8340,23.518377682
HEURISTIC,LAZY,house,1,1220.9083043893177,1411.361240951376,160,0.225551557
HEURISTIC,DILIGENT,house,1,1317.8664326725789,1402.18390595721,160,5.164183363
HEURISTIC,ANTICIPATORY,house,1,1253.4945700817755,1422.0918367164704,160,1.327756687
HEURISTIC,ANTICIPATORY_ONCE,house,1,1220.9083043893177,1411.361240951376,160,0.218832518
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,house,1,1290.2534547412145,1411.4939999031074,160,0.220968568
MULTI_BOUND_G,MIXED_G,house,1,1218.9391978276126,1401.4153635558575,6997,16.805712121
HEURISTIC,LAZY,house,2,1158.886901148775,1351.020108964181,160,0.224340932
HEURISTIC,DILIGENT,house,2,1255.7657940561453,1331.973964833771,160,5.014095787
HEURISTIC,ANTICIPATORY,house,2,1205.8888694640827,1356.1925021420527,160,1.345790415
HEURISTIC,ANTICIPATORY_ONCE,house,2,1158.886901148775,1351.020108964181,160,0.21901062
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,house,2,1232.3585919857348,1339.6448016436289,160,0.221000083
MULTI_BOUND_G,MIXED_G,house,2,1159.742063674327,1352.4532826788893,7580,20.188307144
