planner,heuristic,num_objects,trial_num,est_cost,cost,states_explored,time_taken
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,150,0,4483.02187841116,4877.442709380905,600,3.332488617
MULTI_BOUND_G,MIXED_G,150,0,4500.976451680279,4776.605977915833,8968,84.788331178
HEURISTIC,LAZY,150,1,4064.390247935345,4295.719478983765,600,3.300844904
HEURISTIC,DILIGENT,150,1,4251.515362548852,4262.483470380347,600,99.221757882
HEURISTIC,ANTICIPATORY,150,1,4319.597995516558,4586.283298181188,600,58.938369842
HEURISTIC,ANTICIPATORY_ONCE,150,1,4064.390247935345,4295.719478983765,600,3.153072049
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,150,1,4254.99734104804,4546.730138008695,600,3.13387587
MULTI_BOUND_G,MIXED_G,150,1,4046.463624826845,4278.890332719728,7686,62.092397492
HEURISTIC,LAZY,150,2,4133.0512115251895,4379.426768464775,600,3.262343907
HEURISTIC,DILIGENT,150,2,4381.070166934143,4401.123964270975,600,100.645020272
HEURISTIC,ANTICIPATORY,150,2,4154.76061766561,4578.192292378154,600,59.119414401
HEURISTIC,ANTICIPATORY_ONCE,150,2,4133.0512115251895,4379.426768464775,600,3.147136759
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,150,2,4078.802523132866,4470.180719647844,600,3.195363744
MULTI_BOUND_G,MIXED_G,150,2,4129.483453970607,4373.420338348856,7391,58.016173216
HEURISTIC,LAZY,200,0,5188.448324803513,5536.529555105175,800,5.736550173
HEURISTIC,DILIGENT,200,0,5467.182585306539,5485.124434494043,800,169.320557325
HEURISTIC,ANTICIPATORY,200,0,5067.593178440961,5832.257084293685,800,138.015014445
HEURISTIC,ANTICIPATORY_ONCE,200,0,5188.448324803513,5536.529555105175,800,5.802865257
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,200,0,5076.862336161892,5699.265507198416,800,5.795209882
MULTI_BOUND_G,MIXED_G,200,0,5181.088222675738,5527.942235380335,8392,94.543938093
HEURISTIC,LAZY,200,1,5266.336684788439,5599.661901807579,800,5.76971348
HEURISTIC,DILIGENT,200,1,5604.932568587614,5615.832870595128,800,172.606647121
HEURISTIC,ANTICIPATORY,200,1,5264.375315423381,5924.118446069288,800,138.462074126
HEURISTIC,ANTICIPATORY_ONCE,200,1,5266.336684788439,5599.661901807579,800,6.179474991
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,200,1,5177.285080833712,5803.1346964903305,800,5.990731538
