planner,heuristic,num_objects,est_cost,cost,states_explored,time_taken
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,100,1.3708502545173752e+31,3727.5811868486176,400.0,0.6567767541999999
MULTI_BOUND,MIXED,100,1.4891488596065934e+31,3676.2045158788833,642.4,28.622497956399997
MULTI_BOUND_G,MIXED_G,100,1.3114520382605213e+31,3699.882789194277,644.0,2.3316595787999996
HEURISTIC,LAZY,150,1.5572324949384328e+46,6022.042417099276,600.0,1.4477695205
HEURISTIC,DILIGENT,150,1.368966056224003e+46,6047.51042516894,600.0,23.5935323052
HEURISTIC,ANTICIPATORY,150,1.2508916004887792e+46,6000.504408475701,600.0,15.459154790700001
HEURISTIC,ANTICIPATORY_ONCE,150,1.27291558901386e+46,6061.080362862782,600.0,1.4505800139
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,150,1.4149776210125936e+46,6028.175311564233,600.0,1.4412669931
MULTI_BOUND,MIXED,150,1.402272937879335e+46,5953.176062077991,603.6,46.937257305100005
MULTI_BOUND_G,MIXED_G,150,1.583030694709985e+46,6022.6666005931165,602.4,3.2880459877999995
HEURISTIC,LAZY,200,1.3412486870097004e+61,8434.536097878226,800.0,2.5709912627000002
HEURISTIC,DILIGENT,200,1.593184396902614e+61,8373.063611899643,800.0,41.4781772369
HEURISTIC,ANTICIPATORY,200,1.3105207933769996e+61,8365.973679355535,800.0,35.738718837099995
HEURISTIC,ANTICIPATORY_ONCE,200,1.330465251699321e+61,8458.661693696413,800.0,2.5756719610000003
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,200,1.3261577316434793e+61,8259.906094751814,800.0,2.5809032838
MULTI_BOUND,MIXED,200,1.50294675064759e+61,8358.232589237101,800.0,68.8831215934
MULTI_BOUND_G,MIXED_G,200,1.5085342070523197e+61,8278.057686761149,800.0,5.1447984182
HEURISTIC,LAZY,250,1.456318044823569e+76,10649.40194867012,1000.0,4.0105989656
HEURISTIC,DILIGENT,250,1.5718744826151198e+76,10617.213206367649,1000.0,61.7337634331
HEURISTIC,ANTICIPATORY,250,1.6492280549032354e+76,10756.988412218347,1000.0,67.0940211155
HEURISTIC,ANTICIPATORY_ONCE,250,1.465763206521812e+76,10646.287507794459,1000.0,3.9167649266999995
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,250,1.2149934511829535e+76,10347.69665219486,1000.0,3.8996271669999993
MULTI_BOUND,MIXED,250,1.5695090312496853e+76,10757.138919682588,1000.0,91.4842609591
MULTI_BOUND_G,MIXED_G,250,1.5866322977744e+76,10600.461064770045,1000.0,7.606522916099999
HEURISTIC,LAZY,300,1.8303049131009036e+91,13021.361377395297,1200.0,5.8484806844
HEURISTIC,DILIGENT,300,1.825084704812969e+91,12967.505512991647,1200.0,91.718049928
HEURISTIC,ANTICIPATORY,300,1.4928358718055456e+91,13068.358139841175,1200.0,118.3694026693
HEURISTIC,ANTICIPATORY_ONCE,300,1.468463345590734e+91,13058.856213487428,1200.0,6.3811054889
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,300,1.3621802027672107e+91,12843.536392323967,1200.0,6.1625510583
MULTI_BOUND,MIXED,300,1.5577874585764373e+91,12981.233177731354,1200.0,123.76977221439999
MULTI_BOUND_G,MIXED_G,300,1.7460640503850227e+91,13017.147714913952,1200.0,10.230365623600001
