no.blocks,planner_type,heuristic,planning_time,plan_cost,pp_cost
50,greedy,HEURISTIC.LAZY,1.104218898,420.0366747918369,442.6064971651791
50,greedy,HEURISTIC.SIMPLE_COLLISION,7.754097371,488.1652034114158,445.4039023257075
50,greedy,HEURISTIC.DILIGENT,18.465216545,439.50305933828156,441.58143527642557
50,multi_bound,HEURISTIC.LAZY,42.672300854,433.26953257853523,487.0533722778128
50,multi_bound,HEURISTIC.SIMPLE_COLLISION,76.457573067,483.17376878457435,490.0105080214832
50,multi_bound,HEURISTIC.DILIGENT,89.0561081,453.6218090034499,481.01039180498725
50,multi_bound,mixed,45.071367962,433.26953257853523,487.0533722778128
