no.blocks,planner_type,heuristic,planning_time,plan_cost,pp_cost
5,greedy,HEURISTIC.LAZY,0.073316745,45.89821010439002,47.82354656266181
5,greedy,HEURISTIC.SIMPLE_COLLISION,0.092072143,46.36068752506693,47.82354656266181
5,greedy,HEURISTIC.DILIGENT,0.233571454,48.07944382816624,48.07944382816624
5,multi_bound,HEURISTIC.LAZY,118.149267514,36.75613513992407,41.01965303683014
5,multi_bound,HEURISTIC.SIMPLE_COLLISION,7.041983984,42.73625332115729,45.80231380594605
5,multi_bound,HEURISTIC.DILIGENT,296.049501694,41.389712477714994,42.885414184707805
